Activity,Type,Start,Finish,Details,,,
Feeding,Bottle,"2025-11-19, 07:55","2025-11-19, 08:25","130ml, formula",,,130
Feeding,Bottle,"2025-11-19, 03:40","2025-11-19, 03:50","120ml, formula",,,120
Sleep,,"2025-11-18, 19:35","2025-11-19, 07:10",Cot,,,Cot
Feeding,Bottle,"2025-11-18, 19:15","2025-11-18, 19:30","220ml, formula",,,220
Feeding,Bottle,"2025-11-18, 17:05","2025-11-18, 17:15","120ml, formula",,,120
Sleep,,"2025-11-18, 14:25","2025-11-18, 15:20",Pram,,,Pram
Feeding,Bottle,"2025-11-18, 13:45","2025-11-18, 14:00","80ml, formula",,,80
Feeding,Bottle,"2025-11-18, 10:10","2025-11-18, 10:20","160ml, formula",,,160
Sleep,,"2025-11-18, 09:20","2025-11-18, 10:00",Cot,,,Cot
Feeding,Bottle,"2025-11-18, 07:00","2025-11-18, 07:30","110ml, formula",,,110
Feeding,Bottle,"2025-11-18, 00:25","2025-11-18, 00:35","90ml, formula",,,90
Sleep,,"2025-11-17, 19:20","2025-11-18, 06:35",Cot,,,Cot
Feeding,Bottle,"2025-11-17, 18:55","2025-11-17, 19:15","160ml, formula",,,160
Feeding,Bottle,"2025-11-17, 17:00","2025-11-17, 17:15","90ml, formula",,,90
Feeding,Bottle,"2025-11-17, 14:40","2025-11-17, 15:35","60ml, formula",,,60
Sleep,,"2025-11-17, 13:15","2025-11-17, 13:55",Car,,,Car
Feeding,Bottle,"2025-11-17, 10:55","2025-11-17, 11:05","80ml, formula",,,80
Sleep,,"2025-11-17, 10:00","2025-11-17, 10:30",Cot,,,Cot
Feeding,Bottle,"2025-11-17, 07:40","2025-11-17, 08:00","90ml, formula",,,90
Feeding,Bottle,"2025-11-17, 04:50","2025-11-17, 05:00","120ml, formula",,,120
Sleep,,"2025-11-16, 20:15","2025-11-17, 07:05",Cot,,,Cot
Feeding,Bottle,"2025-11-16, 19:20","2025-11-16, 19:30","190ml, formula",,,190
Feeding,Bottle,"2025-11-16, 17:30","2025-11-16, 17:35","75ml, formula",,,75
Feeding,Bottle,"2025-11-16, 15:15","2025-11-16, 15:20","70ml, formula",,,70
Sleep,,"2025-11-16, 13:55","2025-11-16, 14:55",Cot,,,Cot
Feeding,Bottle,"2025-11-16, 11:50","2025-11-16, 12:00","120ml, formula",,,120
Sleep,,"2025-11-16, 09:20","2025-11-16, 10:00",Cot,,,Cot
Feeding,Bottle,"2025-11-16, 08:45","2025-11-16, 09:00","130ml, formula",,,130
Feeding,Bottle,"2025-11-16, 05:40","2025-11-16, 06:00","125ml, formula",,,125
Feeding,Bottle,"2025-11-15, 22:55","2025-11-15, 23:05","100ml, formula",,,100
Sleep,,"2025-11-15, 19:35","2025-11-16, 05:30",Cot,,,Cot
Feeding,Bottle,"2025-11-15, 19:20","2025-11-15, 19:30","180ml, formula",,,180
Feeding,Bottle,"2025-11-15, 15:25","2025-11-15, 15:40","130ml, formula",,,130
Sleep,,"2025-11-15, 14:30","2025-11-15, 15:10",Cot,,,Cot
Feeding,Bottle,"2025-11-15, 12:00","2025-11-15, 12:30","140ml, formula",,,140
Feeding,Bottle,"2025-11-15, 10:50","2025-11-15, 10:55","20ml, formula",,,20
Sleep,,"2025-11-15, 09:50","2025-11-15, 10:30",Cot,,,Cot
Feeding,Bottle,"2025-11-15, 07:10","2025-11-15, 07:40","110ml, formula",,,110
Sleep,,"2025-11-14, 19:45","2025-11-15, 07:00",Cot,,,Cot
Feeding,Bottle,"2025-11-14, 19:20","2025-11-14, 19:30","210ml, formula",,,210
Feeding,Bottle,"2025-11-14, 17:15","2025-11-14, 17:45","60ml, formula",,,60
Sleep,,"2025-11-14, 14:55","2025-11-14, 15:25",Cot,,,Cot
Feeding,Bottle,"2025-11-14, 14:00","2025-11-14, 14:15","130ml, formula",,,130
Sleep,,"2025-11-14, 10:10","2025-11-14, 10:50",Cot,,,Cot
Feeding,Bottle,"2025-11-14, 10:00","2025-11-14, 12:00","90ml, formula",,,90
Feeding,Bottle,"2025-11-14, 07:30","2025-11-14, 07:45","100ml, formula",,,100
Feeding,Bottle,"2025-11-14, 00:25","2025-11-14, 00:35","120ml, formula",,,120
Sleep,,"2025-11-13, 20:10","2025-11-14, 07:10",Cot,,,Cot
Feeding,Bottle,"2025-11-13, 20:05","2025-11-13, 20:15","160ml, formula",,,160
Feeding,Bottle,"2025-11-13, 17:20","2025-11-13, 17:30","90ml, formula",,,90
