Activity,Type,Start,Finish,Details
Feeding,Bottle,"2025-11-19, 07:55","2025-11-19, 08:25","172ml, formula"
Feeding,Bottle,"2025-11-19, 03:40","2025-11-19, 03:50","121ml, formula"
Sleep,,"2025-11-18, 19:35","2025-11-19, 07:10",Cot
Feeding,Bottle,"2025-11-18, 19:15","2025-11-18, 19:30","216ml, formula"
Feeding,Bottle,"2025-11-18, 17:05","2025-11-18, 17:15","132ml, formula"
Sleep,,"2025-11-18, 14:25","2025-11-18, 15:20",Pram
Feeding,Bottle,"2025-11-18, 13:45","2025-11-18, 14:00","110ml, formula"
Feeding,Bottle,"2025-11-18, 10:10","2025-11-18, 10:20","208ml, formula"
Sleep,,"2025-11-18, 09:20","2025-11-18, 10:00",Cot
Feeding,Bottle,"2025-11-18, 07:00","2025-11-18, 07:30","121ml, formula"
Feeding,Bottle,"2025-11-18, 00:25","2025-11-18, 00:35","107ml, formula"
Sleep,,"2025-11-17, 19:20","2025-11-18, 06:35",Cot
Feeding,Bottle,"2025-11-17, 18:55","2025-11-17, 19:15","213ml, formula"
Feeding,Bottle,"2025-11-17, 17:00","2025-11-17, 17:15","98ml, formula"
Feeding,Bottle,"2025-11-17, 14:40","2025-11-17, 15:35","73ml, formula"
Sleep,,"2025-11-17, 13:15","2025-11-17, 13:55",Car
Feeding,Bottle,"2025-11-17, 10:55","2025-11-17, 11:05","104ml, formula"
Sleep,,"2025-11-17, 10:00","2025-11-17, 10:30",Cot
Feeding,Bottle,"2025-11-17, 07:40","2025-11-17, 08:00","86ml, formula"
Feeding,Bottle,"2025-11-17, 04:50","2025-11-17, 05:00","118ml, formula"
Sleep,,"2025-11-16, 20:15","2025-11-17, 07:05",Cot
Feeding,Bottle,"2025-11-16, 19:20","2025-11-16, 19:30","205ml, formula"
Feeding,Bottle,"2025-11-16, 17:30","2025-11-16, 17:35","77ml, formula"
Feeding,Bottle,"2025-11-16, 15:15","2025-11-16, 15:20","98ml, formula"
Sleep,,"2025-11-16, 13:55","2025-11-16, 14:55",Cot
Feeding,Bottle,"2025-11-16, 11:50","2025-11-16, 12:00","146ml, formula"
Sleep,,"2025-11-16, 09:20","2025-11-16, 10:00",Cot
Feeding,Bottle,"2025-11-16, 08:45","2025-11-16, 09:00","173ml, formula"
Feeding,Bottle,"2025-11-16, 05:40","2025-11-16, 06:00","160ml, formula"
Feeding,Bottle,"2025-11-15, 22:55","2025-11-15, 23:05","133ml, formula"
Sleep,,"2025-11-15, 19:35","2025-11-16, 05:30",Cot
Feeding,Bottle,"2025-11-15, 19:20","2025-11-15, 19:30","169ml, formula"
Feeding,Bottle,"2025-11-15, 15:25","2025-11-15, 15:40","160ml, formula"
Sleep,,"2025-11-15, 14:30","2025-11-15, 15:10",Cot
Feeding,Bottle,"2025-11-15, 12:00","2025-11-15, 12:30","186ml, formula"
Feeding,Bottle,"2025-11-15, 10:50","2025-11-15, 10:55","20ml, formula"
Sleep,,"2025-11-15, 09:50","2025-11-15, 10:30",Cot
Feeding,Bottle,"2025-11-15, 07:10","2025-11-15, 07:40","112ml, formula"
Sleep,,"2025-11-14, 19:45","2025-11-15, 07:00",Cot
Feeding,Bottle,"2025-11-14, 19:20","2025-11-14, 19:30","200ml, formula"
Feeding,Bottle,"2025-11-14, 17:15","2025-11-14, 17:45","70ml, formula"
Sleep,,"2025-11-14, 14:55","2025-11-14, 15:25",Cot
Feeding,Bottle,"2025-11-14, 14:00","2025-11-14, 14:15","173ml, formula"
Sleep,,"2025-11-14, 10:10","2025-11-14, 10:50",Cot
Feeding,Bottle,"2025-11-14, 10:00","2025-11-14, 12:00","122ml, formula"
Feeding,Bottle,"2025-11-14, 07:30","2025-11-14, 07:45","120ml, formula"
Feeding,Bottle,"2025-11-14, 00:25","2025-11-14, 00:35","149ml, formula"
Sleep,,"2025-11-13, 20:10","2025-11-14, 07:10",Cot
Feeding,Bottle,"2025-11-13, 20:05","2025-11-13, 20:15","206ml, formula"
Feeding,Bottle,"2025-11-13, 17:20","2025-11-13, 17:30","94ml, formula"
Sleep,,"2025-11-13, 14:45","2025-11-13, 16:10",Cot
Feeding,Bottle,"2025-11-13, 14:05","2025-11-13, 14:30","186ml, formula"
Feeding,Bottle,"2025-11-13, 10:35","2025-11-13, 10:40","143ml, formula"
Sleep,,"2025-11-13, 09:45","2025-11-13, 10:15",Cot
Feeding,Bottle,"2025-11-13, 07:05","2025-11-13, 07:35","85ml, formula"
Feeding,Bottle,"2025-11-13, 02:30","2025-11-13, 02:40","149ml, formula"
Sleep,,"2025-11-12, 20:30","2025-11-13, 06:45",Cot
Feeding,Bottle,"2025-11-12, 19:15","2025-11-12, 19:30","280ml, formula"
Feeding,Bottle,"2025-11-12, 17:00","2025-11-12, 17:15","135ml, formula"
Sleep,,"2025-11-12, 14:00","2025-11-12, 15:50",Cot
Feeding,Bottle,"2025-11-12, 13:50","2025-11-12, 14:00","203ml, formula"
Feeding,Bottle,"2025-11-12, 10:30","2025-11-12, 10:35","151ml, formula"
Sleep,,"2025-11-12, 09:25","2025-11-12, 10:05",Cot
Feeding,Bottle,"2025-11-12, 06:40","2025-11-12, 07:00","177ml, formula"
Feeding,Bottle,"2025-11-12, 03:00","2025-11-12, 03:10","164ml, formula"
Sleep,,"2025-11-11, 20:05","2025-11-12, 06:15",Cot
Feeding,Bottle,"2025-11-11, 19:15","2025-11-11, 19:30","288ml, formula"
Feeding,Bottle,"2025-11-11, 17:15","2025-11-11, 17:30","103ml, formula"
Sleep,,"2025-11-11, 14:05","2025-11-11, 15:55",Cot
Feeding,Bottle,"2025-11-11, 13:55","2025-11-11, 14:00","192ml, formula"
Feeding,Bottle,"2025-11-11, 10:30","2025-11-11, 10:40","165ml, formula"
Sleep,,"2025-11-11, 09:10","2025-11-11, 10:15",Cot
Feeding,Bottle,"2025-11-11, 06:25","2025-11-11, 07:25","121ml, formula"
Sleep,,"2025-11-10, 19:45","2025-11-11, 05:50",Cot
Feeding,Bottle,"2025-11-10, 19:20","2025-11-10, 19:30","299ml, formula"
Feeding,Bottle,"2025-11-10, 17:00","2025-11-10, 17:05","103ml, formula"
Sleep,,"2025-11-10, 14:25","2025-11-10, 15:15",cot
Feeding,Bottle,"2025-11-10, 13:50","2025-11-10, 14:00","186ml, formula"
Feeding,Bottle,"2025-11-10, 10:30","2025-11-10, 11:00","129ml, formula"
Sleep,,"2025-11-10, 09:35","2025-11-10, 10:20",cot
Feeding,Bottle,"2025-11-10, 07:15","2025-11-10, 07:45","179ml, formula"
Feeding,Bottle,"2025-11-10, 01:00","2025-11-10, 01:34","118ml, formula"
Sleep,,"2025-11-09, 19:50","2025-11-10, 06:50",cot
Feeding,Bottle,"2025-11-09, 19:20","2025-11-09, 19:40","240ml, formula"
Feeding,Bottle,"2025-11-09, 17:00","2025-11-09, 17:35","138ml, formula"
Sleep,,"2025-11-09, 14:05","2025-11-09, 15:30",cot
Feeding,Bottle,"2025-11-09, 13:50","2025-11-09, 14:00","189ml, formula"
Feeding,Bottle,"2025-11-09, 10:25","2025-11-09, 10:30","132ml, formula"
Sleep,,"2025-11-09, 09:25","2025-11-09, 10:15",cot
Feeding,Bottle,"2025-11-09, 07:00","2025-11-09, 07:30","145ml, formula"
Sleep,,"2025-11-08, 19:30","2025-11-09, 06:25",cot
Feeding,Bottle,"2025-11-08, 19:15","2025-11-08, 19:25","212ml, formula"
Feeding,Bottle,"2025-11-08, 17:00","2025-11-08, 17:15","121ml, formula"
Sleep,,"2025-11-08, 14:50","2025-11-08, 15:45",car
Feeding,Bottle,"2025-11-08, 14:00","2025-11-08, 14:23","149ml, formula"
Feeding,Bottle,"2025-11-08, 10:45","2025-11-08, 11:00","155ml, formula"
Sleep,,"2025-11-08, 09:40","2025-11-08, 10:30",cot
Feeding,Bottle,"2025-11-08, 07:15","2025-11-08, 07:45","175ml, formula"
